,h_name,h_address,h_latitude,h_longitude,h_categories,h_id,t_name,t_address,t_latitude,t_longitude,t_categories,t_id,relationship
26,Trudy's Floral Design,509 Olive Way Ste 300 98101,47.61275,-122.33681,Florists; Floral Designers,YELP-165BolVCXBh6wC0P2VQ217,Medical Dental Building,509 Olive Way 98101,47.6127125,-122.3366228,building,OSM-232076576,2
27,U.S. Bank,725 1st Avenue,47.6030541,-122.33497,bank,OSM-2354350263,Scheuerman Block,701 1st Avenue 98104,47.602837,-122.3340803,building,OSM-184253177,0
28,Gokan,954 East Union Street 98122,47.6130786,-122.3196583,restaurant,OSM-5272981721,Evolve Apartments,954 East Union Street 98122,47.6132387,-122.3198394,building,OSM-431441141,2
29,Pike St & Boren Ave ,,47.6135687,-122.328438,bus_stop,OSM-3149804675,Pike Lofts,303 East Pike Street 98122,47.6138491,-122.3272845,building,OSM-236754232,3
30,8 Limbs Yoga,500 East Pike Street 98122,47.6142388,-122.325056,leisure,OSM-4400510993,Pike Lofts,303 East Pike Street 98122,47.6138491,-122.3272845,building,OSM-236754232,0
31,IBM Building Parking ,,47.6086592,-122.3330940,parking,OSM-4253959032,IBM Building,1200 5th Avenue 98101,47.6084671,-122.3330354,building,OSM-107124282,3
32,Pegasus Coffee,,47.6074498,-122.3354373,cafe,OSM-4538635629,Pacific Telephone and Telegraph Co. Building,1200 3rd Avenue 98101,47.6074093,-122.3351938,building,OSM-232079583,2
33,Magnolia Paw Spa,3111 102,47.6392765,-122.3975501,pet_grooming,OSM-2669581787,Magnolia Professional Building,3203 West McGraw Street 98199,47.6393762,-122.3986105,commercial,OSM-38654631,0
34,Cutters Crabhouse,,47.6105514,-122.3441599,restaurant,OSM-4578408665,Market Place Two,2001 Western Avenue 98121,47.6105066,-122.3444444,building,OSM-231355696,2
35,Broadway & E Howell St ,,47.6181167,-122.320707,bus_stop,OSM-5038660751,The Broadway Building,1620 Broadway 98122,47.6160109,-122.3204094,building,OSM-215404536,3
36,Enterprise,1601 3rd Avenue 98101,47.6113122,-122.3396017,car_rental,OSM-2404247460,Stewart House,80 Stewart Street,47.6099133,-122.3422643,social_facility,OSM-367894552,0
37,Genghis Cohen,,47.6614790,-122.3146079,restaurant,OSM-8750992110,Graduate Seattle,4507 Brooklyn Avenue Northeast 98105,47.661613,-122.3146153,hotel,OSM-223479986,2
38,Umma's Lunch Box,,47.609174,-122.3339864,fast_food,OSM-0838110748,Skinner Building,1301 5th Avenue 98101,47.6093269,-122.3338974,building,OSM-37585125,2
39,Taco Del Mar,,47.6119426,-122.337843,fast_food,OSM-4531038754,Taco Del Mar,,47.6119788,-122.337890,fast_food,OSM-4381038748,1
40,Barneys New York,600 Pine Street,47.6123466,-122.3352945,department_store,OSM-4100849718,Motif Seattle Hotel,1415 5th Avenue 98101,47.6100147,-122.3355346,hotel,OSM-232078049,0
41,Broadway E & E Republican St ,,47.6228709,-122.3210096,bus_stop,OSM-7625164953,Broadway Market,401 Broadway East 98102,47.622583,-122.3215247,commercial,OSM-53919504,3
42,Magnolia Post Office,3211 West McGraw Street 98199,47.6394198,-122.398961,post_office,OSM-356551358,Magnolia Professional Building,3203 West McGraw Street 98199,47.6393762,-122.3986105,commercial,OSM-38654631,3
43,Ballard Back Clinic,1534 Northwest 56th Street 98107,47.6695841,-122.3777052,clinic,OSM-2138368775,Swedish Medical Center Ballard Campus,5300 Tallman Avenue Northwest 98107,47.6675911,-122.3802398,hospital,OSM-292245531,0
44,Bill & Melinda Gates Foundation Visitor Center,500 5th Avenue North 98109,47.6227967,-122.3472514,museum,OSM-2400948772,Bill & Melinda Gates Foundation Visitor Center,,47.6227106,-122.3472536,museum,OSM-6860948475,1
45,Aveda,,47.6128261,-122.335619,cosmetics,OSM-5799687014,Qwest Plaza,1600 7th Avenue 98191,47.6132389,-122.3343985,building,OSM-331281876,0
46,Barg French Cleaners,2018 3rd Avenue 98121,47.6129911,-122.3414981,dry_cleaning,OSM-2327732051,Mayflower Park Hotel Seattle,405 Olive Way 98101,47.6121884,-122.3380479,hotel,OSM-331163045,0
47,Baba Mama,,47.5981303,-122.3259646,office,OSM-6737269685,705 Union Station,705 5th Avenue South 98104,47.596388,-122.3283339,building,OSM-235386596,0
48,Pacific Building Parking ,,47.6043559,-122.3321374,parking_entrance,OSM-5674141577,Pacific Building,720 3rd Avenue 98104,47.6041256,-122.3321877,building,OSM-357527945,3
49,Piroshki On Madison,1219 Madison St 98104,47.609963,-122.323134,Bakeries; Russian; Ukrainian,YELP-612wLrl8-PbDiZFgsP6221,Swedish First Hill Medical Center,747 Broadway 98122,47.6086102,-122.3222589,hospital,OSM-333369584,2
50,University of Washington - Professional & Continuing Education,1325 4th Avenue,47.6087111,-122.3358609,university,OSM-4425878402,UW Professional & Continuing Education,1325 4th Avenue,47.60866,-122.33576,Colleges & Universities; Adult Education,YELP-LpTOBRHvVFs2vve8uo5FZA,1
51,Wells Fargo,,47.6061313,-122.340891,atm,OSM-2744017343,Pier 56,1201 Alaskan Way 98101,47.6054439,-122.3409099,building,OSM-166910697,0
52,First & Stewart Building,101 Stewart Street,47.6103156,-122.340869,building,OSM-231360589,Broderick Building,1500 1st Avenue 98101,47.6091147,-122.3398166,building,OSM-231361933,0
53,"Osborne & Machler, Attorneys at Law",2125 5th,47.6148819,-122.3415151,office,OSM-2327723395,Sixth & Lenora Building,2033 6th Avenue 98121,47.6146744,-122.3394212,commercial,OSM-360585007,0
54,Seattle Dental Associates,1325 4th Avenue 98101,47.6085236,-122.335794,dentist,OSM-7004123348,Puget Sound Plaza,1325 4th Avenue 98101,47.608666,-122.3357963,building,OSM-223171640,2
55,Lady Yum - Amazon Seattle Campus,2130 6th Avenue 98121,47.6159235,-122.3406766,restaurant,OSM-5357723552,Amazon.com Day 1,2121 7th Avenue 98121,47.616055,-122.3401759,commercial,OSM-398816073,2
56,Warwick Seattle Hotel,2030 4th Avenue 98121,47.6139175,-122.3408928,hotel,OSM-185786800,Hotel Andra,2000 4th Avenue 98109,47.6134324,-122.3400579,hotel,OSM-41842296,0
57,Biang Biang,601 East Pike Street 98122,47.6139721,-122.3242144,restaurant,OSM-1359323800,Cove,601 East Pike Street 98122,47.6138794,-122.3241421,building,OSM-541433378,2
58,Expeditors,1015 3rd,47.6059469,-122.3345725,office,OSM-2404269610,1000 Second Avenue,1000 2nd Avenue 98104,47.6056743,-122.3351143,building,OSM-232080836,0
59,Haight Building,211 Pine Street,47.6102729,-122.3393536,building,OSM-232079585,Joseph Vance Building,1402 3rd Avenue 98101,47.6091212,-122.3367511,building,OSM-358977678,0
60,Taste Café,1300 1st Avenue 98101,47.6073513,-122.3384058,cafe,OSM-3996640129,Pacific Telephone and Telegraph Co. Building,1200 3rd Avenue 98101,47.6074093,-122.3351938,building,OSM-232079583,0
61,Dance Sport International,,47.6829641,-122.2598646,leisure,OSM-8574975672,The Brig,6344 Northeast 74th Street,47.6827974,-122.2596126,building,OSM-221073194,2
62,32 Good Reasons,1107 NE 45th St Ste 220 98105,47.6609382629395,-122.316253662109,General Dentistry,YELP-BHczZUgepjhU1JWw6BnHHA,32 Good Reasons,1107 Northeast 45th Street 220,47.6611064,-122.3163863,dentist,OSM-7790374292,1
63,S Washington St & 3rd Ave S,,47.6009483,-122.330841,bus_stop,OSM-4015375241,St. Charles/Rector Hotel,619 3rd Avenue 98104,47.6031837,-122.3320767,building,OSM-357839029,0
64,Olympic Tower,217 Pine Street,47.6103732,-122.3388327,building,OSM-232079590,Broadacres Building,1601 2nd Avenue 98101,47.6103643,-122.3403683,commercial,OSM-360947360,0
65,Local Coffee Spot,301 Westlake,47.621037,-122.338713,cafe,OSM-2312083218,Amazon.com Cricket,440 Terry Avenue North 98109,47.6229576,-122.3365034,office,OSM-148412970,0
66,Grecian Corner,,47.61915,-122.34857,Greek; Salad; Soup,YELP-9gtQy8hWVwYVkH_Kx_Pnmg,Grecian Corner,,47.6191881,-122.3487456,cafe,OSM-5067614523,1
67,The Arctic Club Seattle,700 3rd Avenue 98104,47.6037534,-122.331959,hotel,OSM-2419075923,Hoge Building,705 2nd Avenue 98104,47.6030286,-122.3336458,building,OSM-110176004,0
68,Third & Stewart Animal Wellness Center,1919 3rd Avenue,47.6119215,-122.3404027,veterinary,OSM-2327741579,Haight Building,211 Pine Street 98101,47.6102729,-122.3393536,building,OSM-232079585,0
69,Olympia Coffee Roasting Company,,47.6148853,-122.338128,cafe,OSM-3895916769,The Westin Seattle,1900 5th Avenue 98101,47.6136968,-122.3382709,hotel,OSM-331291911,0
70,Century Square Garage,,47.6100352,-122.3373855,parking,OSM-4469611860,The Century Building,1520 3rd Avenue 98101,47.6104615,-122.3379738,building,OSM-363046816,3
71,Tilikum Place Cafe,407 Cedar Street 98121,47.6178808,-122.3475171,cafe,OSM-2327596943,KOMO Plaza West,100 4th Avenue North 98109,47.6189588,-122.3485225,building,OSM-417682781,0
72,La Creperie Voila,,47.6116496,-122.3326360,fast_food,OSM-4586700036,Washington State Convention Center,800 Convention Place 98101,47.6117274,-122.3316528,attraction,OSM-13866261,2
73,St. John United Lutheran Church,,47.6686583,-122.3548134,place_of_worship,OSM-356551001,Woodland Park Zoo,601 North 59th Street,47.6684421,-122.3509009,zoo,OSM-8097127,0
74,Linda Hodges Gallery,316 1st Avenue,47.5995077,-122.333963,art,OSM-2351712389,Stadium Place,521 Stadium Place South 98104,47.5978677,-122.3324417,office,OSM-155091106,0
75,Commissary Korean Kitchen,521 3rd Avenue 98104,47.602420,-122.3314484,restaurant,OSM-8051700704,Drexel Hotel,519 3rd Avenue 98104,47.6025012,-122.33157,commercial,OSM-356406209,2
76,Pioneer Square Saloon,,47.6016483,-122.3354203,bar,OSM-6976754806,Pioneer Square Hotel,77 Yesler 98104,47.6015425,-122.3352151,building,OSM-140631761,2
77,Children's Art Tiles,401 Pine Street 98101,47.6109,-122.3369,artwork,OSM-3211770170,Medical Dental Building,509 Olive Way 98101,47.6127125,-122.3366228,building,OSM-232076576,0
78,Subway,806 3rd Avenue 98104,47.6044703,-122.3327062,fast_food,OSM-2404316395,Fourth and Madison Building,925 4th Avenue 98104,47.6054683,-122.333227,building,OSM-232080843,0
79,Century Square Garage ,,47.6100483,-122.3373727,parking,OSM-8252040940,The Century Building,1520 3rd Avenue 98101,47.6104615,-122.3379738,building,OSM-363046816,3
80,Cafe Suisse,,47.6155051,-122.3376595,cafe,OSM-3650964832,Hotel Max,620 Stewart Street 98101,47.6142727,-122.3366951,hotel,OSM-223929030,0
81,Alexandra's,412 Olive Way 98101,47.6125023,-122.3381004,clothes,OSM-2327794619,Mayflower Park Hotel Seattle,405 Olive Way 98101,47.6121884,-122.3380479,hotel,OSM-331163045,0
82,Avenue Smiles,2001 130,47.6160223,-122.337357,dentist,OSM-4170543667,Cirrus,2030 8th Avenue 98121,47.616512,-122.3373668,building,OSM-160311202,0
83,Wells Fargo,,47.6051269,-122.334717,atm,OSM-3664980025,Exchange Building,817 2nd Avenue,47.6039937,-122.3349018,commercial,OSM-240874270,0
84,Japanese Garden,,47.5137630,-122.2658531,leisure,OSM-0588338104,Kubota Garden,9817 55th Avenue South 98118,47.5129667,-122.2673204,leisure,OSM-42006992,2
85,Hawley Realty,5600 14th Avenue Northwest 98107,47.6696802,-122.3733340,office,OSM-0064613788,Northwest Professional Center,5600 14th Avenue Northwest 98107,47.6696065,-122.373167,building,OSM-217588762,2
86,Kabab,,47.6213233,-122.350554,fast_food,OSM-2660559611,KABAB,305 Harrison St Ste 219 98109,47.6204816,-122.3504451,Mediterranean,YELP-31kmBxLjLdcJRGBW6WlMCg,1
87,LTD,309 36th,47.6521561,-122.3552217,pub,OSM-2144365454,Fremont Foundry,154 North 35th Street 98103,47.65185,-122.3552423,events_venue,OSM-118401156,0
88,One Yesler Building,1 Yesler Way 98104,47.6015519,-122.3357551,building,OSM-226321130,Pioneer Square Hotel,77 Yesler 98104,47.6015425,-122.3352151,building,OSM-140631761,0
89,Associated Counsel for the Accused (ACS),323 Yesler Way 98104,47.6015941,-122.3292389,office,OSM-2365885506,St. Charles/Rector Hotel,619 3rd Avenue 98104,47.6031837,-122.3320767,building,OSM-357839029,0
90,KeyBank,815,47.6041022,-122.3344501,bank,OSM-2052359557,Dexter Horton Building,710 2nd Avenue 98104,47.6034782,-122.3328184,building,OSM-110176007,0
91,Daniel's Broiler,,47.614525,-122.3341604,restaurant,OSM-6628513966,Hyatt Regency Seattle,808 Howell Street 98101,47.61486,-122.3344587,hotel,OSM-520654959,2
92,Seattle Quilt Building,316 1st Avenue South 98104,47.599458,-122.3337928,building,OSM-389138206,Prudential Building,114 Alaskan Way South 98104,47.6012133,-122.3352198,building,OSM-226321145,0
93,Homestyle Dim Sum,664 Weller Street 98104,47.5976282,-122.324324,restaurant,OSM-2434527363,International District Village Square II,719 8th Avenue South,47.5962679,-122.3228251,community_centre,OSM-235386606,0
94,Starbucks,600 Stewart St 98101,47.613827,-122.336965374190,Coffee & Tea,YELP-51933rBpqAgGk9nUYrN093,Plaza 600,600 Stewart Street 98101,47.6140462,-122.3370887,commercial,OSM-223929018,2
95,Downtown Emergency Services Center,515,47.6023313,-122.331309,social_facility,OSM-2351700819,Arctic Building,700 3rd Avenue 98104,47.6038442,-122.3319387,building,OSM-110176001,0
96,Bejeweled,1101 Alaskan Way 98104,47.60487459468782,-122.33960711375325,Jewelry,YELP-B1j8HcrsiMDIUhZwZlzr6g,Bejeweled,,47.60486392265260,-122.33964507163001,Jewelry,YELP-7558HcrsiMDIUhZwZlz068,1
97,Corner Produce,1500 Pike Pl 98101,47.60887,-122.34057,Fruits & Veggies; Farmers Market,YELP-_SujQ3nRZUyspw9YZXt1Tw,Corner Produce,,47.60886,-122.34056,Fruits & Veggies; Farmers Market,YELP-601jQ3nRZUyspw9YZXt097,1
98,SIFF Cinema Egyptian,,47.6150441,-122.3217040,cinema,OSM-7938750148,Fine Arts Building,801 East Pine Street 98122,47.6149568,-122.3217564,building,OSM-206623532,2
99,E Pine St & Broadway ,,47.6153890,-122.3215333,bus_stop,OSM-1695317251,The Broadway Building,1620 Broadway 98122,47.6160109,-122.3204094,building,OSM-215404536,3
100,Wok,,47.6217483,-122.3510855,fast_food,OSM-8780559885,Seattle Center Armory,305 Harrison Street 98109,47.6214722,-122.3508254,building,OSM-231764919,2
101,Frankly Sweets,1101 Alaskan Way 98104,47.604741,-122.339720,confectionery,OSM-1784017514,Pier 55,1101 Alaskan Way 98104,47.6047924,-122.3399594,building,OSM-166910704,2
102,S Washington St & 3rd Ave S,,47.6009483,-122.330841,bus_stop,OSM-4015375241,Broderick Building,623 2nd Avenue 98104,47.6026655,-122.3333192,building,OSM-140628855,0
103,2nd Ave & Stewart St,,47.6110261,-122.3407563,bus_stop,OSM-4580659255,The Palladian Hotel,2000 2nd Ave 98109,47.6120537,-122.3416898,hotel,OSM-358272089,0
104,Fremont Vintage Mall,3419 Fremont Ave N 98103,47.65023,-122.35015,"Used, Vintage & Consignment; Home Decor; Furniture Stores",YELP-vKKvDahAvIKGbEL7z2CqjQ,Fremont Space,600 North 36th Street 98103,47.6517341,-122.3509958,commercial,OSM-117752664,0
105,Maple Woods,,47.5135838,-122.2656033,leisure,OSM-5718338239,Maple Woods,,47.5135425,-122.2656635,leisure,OSM-4038338080,1
106,Copperworks Tasting Room & Distillery,,47.606008,-122.33973,bar,OSM-4287062120,Pier 55,1101 Alaskan Way 98104,47.6047924,-122.3399594,building,OSM-166910704,0
107,The Juice Emporium,1528 Pike Place,47.6093252,-122.3413987,cafe,OSM-2397497111,Olympic Tower,217 Pine Street 98101,47.6103732,-122.3388327,building,OSM-232079590,0
108,Zara,,47.6116696,-122.337055,clothes,OSM-4465621915,Haight Building,211 Pine Street 98101,47.6102729,-122.3393536,building,OSM-232079585,0
109,H Mart,1601 2nd Avenue 98101,47.6103295,-122.3401158,supermarket,OSM-0921330707,Broadacres Building,1601 2nd Avenue 98101,47.6103643,-122.3403683,commercial,OSM-360947360,2
110,Rex,1402 12th Avenue,47.6131506,-122.3166228,pet,OSM-2158750335,Evolve Apartments,954 East Union Street 98122,47.6132387,-122.3198394,building,OSM-431441141,0
111,Sodo Kitchen,2401 Utah Avenue South 98134,47.580751,-122.335732,food_court,OSM-9635365883,Starbucks Center,2401 Utah Avenue South 98134,47.5808041,-122.3359233,office,OSM-103052725,2
112,Beacon Avenue Food Bank,6230 Beacon Avenue South 98108,47.5465655,-122.3002053,,OSM-2527384673,Bethany United Church of Christ,6230 Beacon Avenue South 98108,47.5465975,-122.2999875,place_of_worship,OSM-228537619,2
113,Fenix Tattoo & Piercing,106 1st Avenue South 98104,47.6013937,-122.3339751,tattoo,OSM-2351695460,Hoge Building,705 2nd Avenue 98104,47.6030286,-122.3336458,building,OSM-110176004,0
114,Harper's Hair Studio,321 Seneca,47.6073364,-122.3343442,hairdresser,OSM-2404269730,Fairmont Olympic Hotel,411 University Street 98101,47.6080973,-122.3339606,hotel,OSM-35824976,0
115,Top Pot Doughnuts,720 3rd Avenue,47.6040466,-122.3323,cafe,OSM-3475602294,Totem Pole Loand,627 1st Avenue 98104,47.602439,-122.3346465,building,OSM-397007182,0
116,Beacon Hill Discovery,,47.5778249,-122.3112948,artwork,OSM-3211770077,El Centro de la Raza,2524 16th Avenue South 98144,47.5803176,-122.3113155,community_centre,OSM-228721661,0
117,Seattle Fire Department,301 2nd Avenue South 98104,47.5998689,-122.331918,fire_station,OSM-2351712246,Union Trust Building,119 South Main Street 98104,47.5997935,-122.3331868,building,OSM-389138212,0
118,Shade,2004 1st Avenue 98121,47.6113909,-122.3427260,curtain,OSM-0467446043,One Pacific Tower,2000 1st Avenue 98121,47.6114654,-122.3426928,building,OSM-231355699,2
119,Ragazzi's Flying Shuttle,607,47.602004,-122.334399,jewelry,OSM-2351695645,Totem Pole Loand,627 1st Avenue 98104,47.602439,-122.3346465,building,OSM-397007182,0
120,Garthgoyles: Designs for the Charlotte Martin Theatre,,47.62085,-122.352117,artwork,OSM-3211770194,Space Needle,400 Broad Street 98109,47.6205062,-122.3493037,attraction,OSM-12903132,0
121,Pacific Condominium,321 10th Avenue South 98104,47.59959,-122.3198071,,OSM-1216173289,Pacific Rim Building,900 South Jackson Street 98104,47.5994616,-122.320335,building,OSM-228888060,2
122,Drink Books,5817 Phinney Avenue 98103,47.6716681,-122.3545954,books,OSM-2462448843,Woodland Park Zoo,601 North 59th Street,47.6684421,-122.3509009,zoo,OSM-8097127,0
123,MOD Pizza,305 Harrison St Ste 221 98109,47.621409,-122.350791,Pizza; Fast Food,YELP-717I4KuIVd9b_rgxJH4119,Seattle Center Armory,305 Harrison Street 98109,47.6214722,-122.3508254,building,OSM-231764919,2
124,Premier Meat Pies,305 Harrison Street 98109,47.6215319,-122.3505409,cafe,OSM-0280559220,Seattle Center Armory,305 Harrison Street 98109,47.6214722,-122.3508254,building,OSM-231764919,2
125,Sync Fitness,3837 13th Avenue West 98119,47.655021,-122.3739273,leisure,OSM-4459240111,Nickerson Business Center,3837 13th Avenue West 98119,47.6550476,-122.3739968,building,OSM-224296165,2
126,Olive Way & 8th Ave,,47.6139303,-122.3341945,bus_stop,OSM-3632054407,Olive 8,1635 8th Avenue 98101,47.6136908,-122.3341825,building,OSM-331281878,3
127,Hansen / Scott Gallery,121 Prefontaine Place South 98104,47.6011978,-122.329500,art,OSM-9491711315,Tashiro Kaplan Artist Lofts,115 Prefontaine Place South 98104,47.6011314,-122.3297286,building,OSM-226323016,2
128,The Georgian,,47.6084291,-122.3337309,restaurant,OSM-6893634961,Fairmont Olympic Hotel,411 University Street 98101,47.6080973,-122.3339606,hotel,OSM-35824976,2
129,Can Can Burlesque,94 Pike Street,47.6088825,-122.3403543,nightclub,OSM-5236468223,Joseph Vance Building,1402 3rd Avenue 98101,47.6091212,-122.3367511,building,OSM-358977678,0
130,Pasta Casalinga,,47.6085368,-122.3402323,restaurant,OSM-5681016321,The Century Building,1520 3rd Avenue 98101,47.6104615,-122.3379738,building,OSM-363046816,0
131,"Eye Benches I, II, and III",,47.6151462,-122.3551124,artwork,OSM-3662141799,Port of Seattle Headquarters,2711 Alaskan Way 98121,47.6138346,-122.3543901,office,OSM-166911088,0
132,Frank's Quality Produce,1508 Pike Pl 98101,47.6089248863546,-122.3407259,Fruits & Veggies; Grocery,YELP-1qTHBel-WyrrX_QSerQ0Sg,Frank's Quality Produce,1508 Pike Place 98101,47.6089587,-122.3408098,greengrocer,OSM-2397497093,1
133,Bread of Life Mission,97 South Main Street 98104,47.59980,-122.33457,Homeless Shelters,YELP-780WSldXon8Y4a_Uo7i476,Crown Hotel Building,97 South Main Street 98104,47.5999008,-122.3345779,building,OSM-164258077,2
134,Olive 8,1635 8th Avenue 98101,47.6136908,-122.3341825,building,OSM-331281878,520 Pike Tower,520 Pike Street 98101,47.6112883,-122.3350401,building,OSM-363046830,0
135,Visions Northwest,1315 4th,47.6086161,-122.3354398,optician,OSM-2404244813,Pacific Telephone and Telegraph Co. Building,1200 3rd Avenue 98101,47.6074093,-122.3351938,building,OSM-232079583,0
136,Shade,2004 98121,47.6113147,-122.3427087,curtain,OSM-2397446914,Terminal Sales Building,1932 1st Avenue 98101,47.6111281,-122.3421192,building,OSM-206883226,0
137,Starbucks,,47.5612673,-122.3852753,cafe,OSM-6315235491,West Seattle Bowl,4505 39th Avenue Southwest 98116,47.562484,-122.3818908,leisure,OSM-231348882,0
138,Seneca St & 3rd Ave ,,47.6068214,-122.3355318,bus_stop,OSM-0168577582,1111 Third Avenue,1111 3rd Avenue 98101,47.6066254,-122.335405,building,OSM-232080287,3
139,The Jolly Roger Taproom,1111 Northwest Ballard Way 98107,47.6626433,-122.3717451,pub,OSM-4542847023,Maritime Pacific Brewing Company,1111 Northwest Ballard Way 98107,47.6627021,-122.3716708,craft,OSM-160262003,2
140,University of Washington - Professional & Continuing Education,1325 4th Avenue 98101,47.6087535,-122.3358241,university,OSM-9415878767,Puget Sound Plaza,1325 4th Avenue 98101,47.608666,-122.3357963,building,OSM-223171640,2
141,Evergreens,,47.6097282,-122.332563,fast_food,OSM-4027142314,Washington State Convention Center,800 Convention Place 98101,47.6117274,-122.3316528,attraction,OSM-13866261,0
142,Zara,,47.6116696,-122.337055,clothes,OSM-4465621915,Olympic Tower,217 Pine Street 98101,47.6103732,-122.3388327,building,OSM-232079590,0
143,Pike Market Medical Clinic,,47.6106589,-122.3428229,clinic,OSM-4639109916,Pike Market Medical Clinic,,47.6106689,-122.3428724,clinic,OSM-9879109668,1
144,Urbane Restaurant,1635 8th Avenue 98101,47.6138167,-122.3341360,restaurant,OSM-4116944406,Olive 8,1635 8th Avenue 98101,47.6136908,-122.3341825,building,OSM-331281878,2
