,e_name,e_category,e_type
186,Nasi Lemak House,restaurant,0
187,Lagom Gelateria,ice_cream,0
188,Kett Street,bus_stop,0
189,Thomas Gannan,furniture,0
190,Stevie,cafe,0
191,Sandringham Youth Club,leisure,1
192,Monty's Noodles,fast_food,0
193,South Melbourne Market (Bld. 9),marketplace,1
194,Plaza Medical Centre,clinic,0
195,Federici Bistro,restaurant,0
196,State Theatre,theatre,0
197,Kensington Lawyers,office,0
198,Westfield Knox Shopping Centre (South),mall,1
199,Optus,mobile_phone,0
200,By Korea,restaurant,0
201,Stick It Grill,fast_food,0
202,Fu Lu,restaurant,0
203,St Vincent's Hospital (Building 5),hospital,1
204,7-Eleven,convenience,0
205,Bayside Shopping Centre,mall,1
206,Grand Hotel,pub,0
207,Hello Mellow,office,0
208,Target,department_store,0
209,Babbo,cafe,0
210,Access Medical Centre,clinic,0
211,Hoyts,cinema,0
212,Waltzing Matilda Hotel,restaurant,0
213,Passionate,restaurant,0
214,Mehretina Cafe,cafe,0
215,Stockade Avenue/Pentridge Boulevard,bus_stop,0
216,Station Street Cafe,cafe,0
217,Toothpicks,cafe,0
218,eMaxx Computers,office,0
219,Code Black Coffee,cafe,0
220,Chirnside Park Shopping Centre,mall,1
221,Public Toilets,toilets,0
222,Williams Florist,florist,0
223,Fogarty Ave,bus_stop,0
224,Mai Tram Hair,hairdresser,0
225,Midas,car_repair,0
226,Nguyen hair salon,hairdresser,0
227,Harold Street,bus_stop,0
228,Brunswick Secondary College/Dawson Street,bus_stop,0
229,Commonwealth Bank,bank,0
230,Sandringham Yacht Club Marina,leisure,1
231,Focus On Furniture,furniture,0
232,The Old Raffles Place,restaurant,0
233,TreasureStar,bar,0
234,Westcare Medical Centre,clinic,1
235,BWS,alcohol,0
236,Refuel Café,cafe,0
237,Ante Pavelić,artwork,0
238,Liquorland Express,alcohol,0
239,Croydon North Discount Pharmacy,pharmacy,0
240,Churches of Christ Theological College,university,1
241,Miah's Sambalicious,restaurant,0
242,Marshall White,office,0
243,Knead Bakers,cafe,0
244,Public Toilets,toilets,0
245,NAB,bank,0
246,Zambrero,fast_food,0
247,Preston Clothing,tailor,0
248,State Library of Victoria,library,1
249,Apple Store,electronics,0
250,Seasons Botanic Gardens Melbourne,hotel,1
251,The Kensington Fish Shop,fast_food,0
252,Sunshine Central Medical Clinic,healthcare,0
253,Fresh seafood wholesalers,seafood,0
254,Cavallini,cafe,0
255,North Melbourne Shoe Repairs,craft,0
256,Aussie Curry Lovers,restaurant,0
257,Owen Dixon Chambers West,office,1
258,Commonwealth Bank,bank,0
259,Dumpling 88,restaurant,0
260,Post Office Pizza Bar,fast_food,0
261,Royal Children's Hospital,hospital,1
262,Baxter Institute (Automotive and Bakery Campus),college,1
263,MMS,restaurant,0
264,Mitchell McCabe Mensware,clothes,0
265,Eltham Ridge Medical Centre,doctors,1
266,Gifts With Love Express,variety_store,0
267,Emerald Hill Library,library,0
268,Clash City Hair,hairdresser,0
269,Pizza Hut,restaurant,0
270,RMIT University (South),university,1
271,Edan Motors,car_repair,0
272,Sun Theatre,cinema,1
273,Ian Potter Centre: NGV Australia - Block 5,museum,1
274,Ringwood Square Barber Shop,hairdresser,0
275,Kritamos,restaurant,0
276,Australian College of Hair Design And Beauty,college,0
277,Healesville Sanctuary (Section F),zoo,1
278,Bridgestone,tyres,0
279,Laksa King,restaurant,0
280,Bike Zone,bicycle,0
281,Essé,clothes,0
282,ST. Ali,cafe,0
283,La Trobe Street,bus_stop,0
284,William Angliss Institute - Block 3,college,1
285,McDonald's,fast_food,0
286,Hungry Jacks,fast_food,0
287,North Ringwood Pre School,bus_stop,0
288,Secret Kitchen,restaurant,0
289,Mai's Florist,florist,0
290,Priceline Pharmacy,pharmacy,0
291,Jellis Craig,office,0
292,The Classic Pizza House,fast_food,0
293,Suits,clothes,0
294,Subway,fast_food,0
295,Mobile Up,mobile_phone,0
296,Honorary Consul of the Federal Republic of Germany,office,0
297,Victoria Street,bus_stop,0
298,Montmorency Newsagency,newsagent,0
299,The Protein Factory,nutrition_supplements,0
300,Highpoint Shopping Centre (Building 9),mall,1
301,The Lame Duck,bar,0
302,Commonwealth Bank,atm,0
303,Tokyo Hair design,hairdresser,0
304,Nyala African Restaurant,restaurant,0
305,Le Pine,funeral_directors,0
306,Pilates,leisure,0
307,Cromwell Street/Victoria Parade,bus_stop,0
308,Intralot,office,0
309,Telstra Air,telephone,0
310,Tsindos Greek Restaurant,restaurant,0
311,JD Sports,sports,0
312,Woolworths,supermarket,0
313,Cafe Notturino,restaurant,0
314,Premier Health Partners,doctors,0
315,Clarinda Library,library,0
316,Street Organics,cafe,0
317,Sandringham Yacht Club Marina - Block 3,leisure,1
318,Hamer,artwork,0
319,McDonald's,fast_food,0
320,Wandin North War Memorial,historic,0
321,Local Cellars,alcohol,0
322,Catch 22 Men's Wear,clothes,0
323,SGR Audio,office,0
324,Barry Street Lunch Bar,fast_food,0
325,National Tiles,craft,0
326,Lolo's Takeaway,fast_food,0
327,Oakleigh Station,bus_stop,0
328,Subscape Aquarium,pet,0
329,Abbotsford Convent,attraction,1
330,Matrix Fitness,dojo,0
331,Hunters' Roots,cafe,0
332,made in Japan,furniture,0
333,Wandin Veterinary Clinic,veterinary,0
334,Langwarrin Shopping Centre,mall,1
335,Westpac,atm,0
336,Hargrave-Andrew Library,library,1
337,X Stone,craft,0
338,Bay City Nissan,car,0
339,"""The Sandy"" Hotel",pub,0
340,Carpark pedestrian entrance,parking_entrance,0
341,Cellarbrations,alcohol,0
342,Waterdale Fish & Chips,fast_food,0
343,LaunchPad Evolve,office,0
344,City Residential,office,0
345,Ground Cafe,cafe,0
346,Sunshine Station (Bay 12),bus_stop,0
347,Berth 3,ferry_terminal,0
348,Pt. Leo Estate,craft,1
349,Ocean View Cafe,cafe,0
350,Woodstock,cafe,0
351,State Library of Victoria,library,1
352,McKillops,restaurant,0
353,ANZ,bank,0
354,Epworth Richmond Hospital (Sec. B),hospital,1
355,Red Spice Road,restaurant,0
356,Parkiteer,bicycle_parking,0
357,Croydon North MLOC Football Club,sport,0
358,Dan Murphy's,alcohol,0
359,mycar Tyre & Auto,car_repair,0
360,Pause Cafe,cafe,0
361,Flinders Street Station Pharmacy,pharmacy,0
362,Pines Learning & Activity Centre (Bld. 7),community_centre,1
363,EB Games,video_games,0
364,Aesop,beauty,0
365,Kinfolk,cafe,0
366,Crown Entertainment Complex (North),casino,1
367,Shine Car Wash,car_wash,0
368,Dumplings 2 Go,restaurant,0
369,Ian Potter Centre: NGV Australia,museum,1
370,Lucky 7 Eight on Miles,convenience,0
371,Malaysian Consulate General in Melbourne,office,0
372,Save the Children Op Shop,charity,0
373,Envirowash,car_wash,0
374,Vapiano,restaurant,0
375,Wild Life Bakery,cafe,0
376,Fireflies,restaurant,0
377,Three Phase Rehearsal Studios,studio,1
378,Zaytoune,cafe,0
379,Rustic Thai Kitchen,restaurant,0
380,The Crib,clothes,0
381,U3A Ringwood,office,0
382,LaunchPad Orbit,office,0
383,Caltex,fuel,0
384,Pegasus Apart'Hotel (East),hotel,1
385,St Scholastica's Catholic Church,place_of_worship,0
386,Commuters Café & Bar,cafe,0
387,BWS,alcohol,0
388,Step Ahead Shoes,shoes,0
389,Magic Cuisine,fast_food,0
390,Upsize,cafe,0
391,Bar Commercio,cafe,0
392,Revival Centre Church,place_of_worship,0
393,Knox City Shopping Centre (Bay 1),bus_stop,0
394,Solway Large Guys,clothes,0
395,Elliott St/Chauvel St,bus_stop,0
396,East Ringwood Reserve Playground,leisure,0
397,St Vincent's Hospital,hospital,1
398,Kealba Community Center - Block 4,community_centre,1
399,Lance Dixon Service,car_repair,0
400,Spacelane Mechanical Repairs,car_repair,0
401,Bar Nacional,bar,0
402,Qiao Xiang Yuan,restaurant,0
403,Queensberry Street/Lygon Street,bus_stop,0
404,Taxi,taxi,0
405,Bicycle Lockers,bicycle_parking,0
406,St Kilda West Licensed Post Office,post_office,0
407,A Bite of China Hot Pot,restaurant,0
408,Jeanswest,clothes,0
409,Creative Cubes Co. (Sec. C),office,1
410,myki,vending_machine,0
411,Journey Early Learning Centre,childcare,0
412,e.g.etal Jewellery,jewelry,0
413,Qmara,supermarket,0
414,The Pint of Milk,cafe,0
415,Knox City Shopping Centre (Bay 2),bus_stop,0
416,Courthouse Theatre,theatre,0
417,Boyd Community Hub (Bld. 1),public_building,1
418,Cornish Library,library,0
419,Jenny's Hot Bread,fast_food,0
420,Đồi Xanh Quán,restaurant,0
421,Grayling Cres/Kalinda Rd,bus_stop,0
422,Creelman's Pharmacy,pharmacy,0
423,Tresselle Hairdressing,hairdresser,0
424,Australia Post,post_office,0
425,South Melbourne Market,marketplace,1
426,Keilor Downs Surgery,hospital,0
427,Best Friends,pet,0
428,Master Drycleaners,dry_cleaning,0
429,Coburg Library,library,0
430,Infocomm Pty Ltd,office,0
431,Big W,department_store,0
432,Healesville Sanctuary,zoo,1
433,Brosa,craft,0
434,Muffin Break,cafe,0
435,Meadow Street/Elizabeth Street,bus_stop,0
436,HD Academic Tuition,office,0
437,Marcs,clothes,0
438,James Cook University,university,0
439,RMIT University,university,1
440,Public Toilets,toilets,0
441,Vaucluse Hotel,pub,0
442,Yes Optus,telecommunication,0
443,Pegasus Apart'Hotel,hotel,1
444,The Print Place,copyshop,0
445,MGIC,clinic,0
446,Joe's Pizza Square,fast_food,0
447,Flemington Library,library,0
448,Bob Jane T-Marts,tyres,0
449,Barbershop,hairdresser,0
450,Eltham Ridge Medical Centre - Block 3,doctors,1
451,Lygon Street Christian Chapel,place_of_worship,0
452,NAB,atm,0
453,Sunshine Station (Bay 9),bus_stop,0
454,Khazana,restaurant,0
455,Coventry Street/St Kilda Road,bicycle_rental,0
456,Denim Smith,clothes,0
457,Eyetech Optometrists,optician,0
458,SaltWater Community Centre - Block 4,community_centre,1
459,Sushi Izakaya bar,fast_food,0
460,Officeworks,stationery,0
461,Forty Winks,bed,0
462,Mr. Banks,bar,0
463,UBar,pub,0
464,Northside Records,music,0
465,Hoyts,cinema,0
466,Somerville and district panels,car_repair,0
467,Corner Convenience Store,convenience,0
468,Newcastle Street/Bell Street,bus_stop,0
469,Fitzroy Toy Library,toys,0
470,Owen Dixon Chambers West,office,1
471,Medical History Museum,museum,0
472,The Clayton Hotel,hotel,1
473,St Mary's Coptic Orthodox Church,place_of_worship,0
474,Hoa Nghiem Primary School,school,0
475,Zone Bowling,sport,0
476,Perth Avenue Milk Bar,convenience,0
477,Hargrave-Andrew Library (Sec. G),library,1
478,Seed Heritage,clothes,0
479,Westside Fish and Chips,fast_food,0
480,Babalu's Pizza & Pasta,fast_food,0
481,Parliament,subway_entrance,0
482,Hughes St/Francis St,bus_stop,0
483,Foodworks,supermarket,0
484,Pictures and Pages,books,0
485,Wicked Campers Melbourne,caravan,0
486,Njoy,fast_food,0
487,zouki,restaurant,0
488,Hotham Hill Licensed Post Office,post_office,0
489,Spieledeluxe,games,0
490,Westfield Knox Shopping Centre,mall,1
491,Lance Dixon Bentley,car,0
492,Seasons Botanic Gardens Melbourne (Sec. G),hotel,1
493,Half Moon Cafe,cafe,0
494,McDonald's,fast_food,0
495,Bravissimi,kindergarten,0
496,Newport Community Hub,community_centre,1
497,Daffney’s,pharmacy,0
498,Coles,supermarket,0
499,Public Toilets,toilets,0
500,Grill'd,fast_food,0
501,Gown for a Night,clothes,0
502,Creative Cubes Co.,office,1
503,Newport Community Hub (East),community_centre,1
504,Batman’s Hill on Collins,hotel,1
505,Melbourne University Eyecare,optician,0
506,"Queens Bridge, Southbank",bicycle_rental,0
507,Bridge St/Bay St 234 - Garden City,bus_stop,0
508,Bentley the Butler,dry_cleaning,0
509,Eyes On,optician,0
510,Crystal Heart,gift,0
511,Woolworths Metro,supermarket,0
512,181 Bar Restaurant,restaurant,0
513,Northland Shopping Centre - Blk. 2,mall,1
514,Beach Street Family Medicine (Section F),doctors,1
515,Barkers,restaurant,0
516,Jacks Barbers,hairdresser,0
517,Bayside Shopping Centre (Bld. 4),mall,1
518,Australia Post Parcel Lockers,vending_machine,0
519,Consulate General of Italy in Melbourne,office,0
520,Stand Up Cafe,cafe,0
521,Clark Rubber - Chirnside Park,swimming_pool,0
522,Seedling,cafe,0
523,Bull Run,restaurant,0
524,Yummy Pho,restaurant,0
525,Greenwood Park Playground,leisure,0
526,Supple,office,0
527,Sidewalk Soul,shoes,0
528,Ohana Hairdressing,hairdresser,0
529,Schnitz,fast_food,0
530,Westcare Medical Centre - Block 5,clinic,1
531,Himes Group,office,0
532,Fenix,restaurant,0
533,Neuw Denim,clothes,0
534,Subway,fast_food,0
535,Petbarn,Pet Stores,0
536,Arbory Bar & Eatery,bar,0
537,O-Bento,restaurant,0
538,recycle boutique,clothes,0
539,Greensborough Road,bus_stop,0
540,"Ofuroya, the Japanese Bath House",public_bath,0
541,Chaf's Cafe,cafe,0
542,IGA,convenience,0
543,McDonald's,fast_food,0
544,Bubba Pizza,restaurant,0
545,Double Dutch Coffee Bar,cafe,0
546,Lecco Pizzeria,restaurant,0
547,Kebabs On Bell,fast_food,0
548,Tiamo Hair Design,hairdresser,0
549,Law Library,library,0
550,Sandringham Youth Club (Building 5),leisure,1
551,Sandringham Baptist Church,place_of_worship,0
552,South Melbourne Life Saving Club,fast_food,0
553,Woolworths,supermarket,0
554,181 Domain,cafe,0
555,Royal Australasian College of Surgeons/Victoria Parade,bus_stop,0
556,Melview Drive Playground,leisure,0
557,Ashley Street Medical Centre,doctors,0
558,Ilana Car Seat Covers,car_parts,0
559,Seed Heritage,clothes,0
560,Pie Face,cafe,0
561,Minuteman Press,copyshop,0
562,Christ Church Kensington,place_of_worship,0
563,Zacs Pet Supplies,pet,0
564,BWS,alcohol,0
565,Chirnside Park Shopping Centre (Bld. 2),mall,1
566,Boyd Community Hub,public_building,1
