,e_name,e_category,e_type
216,Cloud Stones,artwork,0
217,Thunderbird Stand Up Paddleboarding,outdoor,0
218,Car Hop,car,0
219,Två Enhörning,artwork,0
220,Bank of America,atm,0
221,Starbucks,cafe,0
222,Four Corners Art And Frame,art,0
223,Bar Sue,bar,0
224,E Union St & 29th Ave,bus_stop,0
225,Kaiser Permanente Capitol Hill Campus (Section C),hospital,1
226,Greenlake Boathouse Cafe,cafe,0
227,Gay City,social_facility,0
228,Tashiro Kaplan Artist Lofts - Block 4,building,1
229,Tableau Software Millworks Building,office,0
230,S Jackson St & Maynard Ave S,bus_stop,0
231,The Bubble Tea Shop,Bubble Tea; Juice Bars & Smoothies,0
232,Pacific Tower,landmark,1
233,Skyn Spa,hairdresser,0
234,Madrona Plaza,building,1
235,Le Coin,restaurant,0
236,The Art Of Shaving,razors,0
237,Starbucks,cafe,0
238,Olive 8 (Sec. B),building,1
239,Emerald City Bible Fellowship Church,place_of_worship,0
240,Cone & Steiner,convenience,0
241,Cabrini Medical Tower (East),office,1
242,Scott's Trophy,trophy,0
243,Mejari Fusion Sushi,restaurant,0
244,Khan Law Firm,office,0
245,Señor Carbon,restaurant,0
246,Monorail Espresso,cafe,0
247,Boeing 3-825,building,1
248,Liquor & Wine,alcohol,0
249,Northwest Vision Clinic,optician,0
250,Graham Street Grocery,convenience,0
251,Wildrose,bar,0
252,Holy Mountain Brewing,craft,0
253,Melrose Market Studios,office,0
254,King County Administration Building - Block 5,office,1
255,BECU,bank,0
256,Homer,restaurant,0
257,International Examiner,office,0
258,Assembly 118,apartment,0
259,HoneyHole,restaurant,0
260,8th Ave NW & NW 70th St,bus_stop,0
261,Hotel Max - Blk. 3,hotel,1
262,Seattle's Best Teriyaki,fast_food,0
263,Arctic Building - Blk. 4,building,1
264,Kraken Community Iceplex (Building 2),leisure,1
265,Olaf's,bar,0
266,Dimitriou's Jazz Alley,Jazz & Blues; Music Venues,0
267,West Seattle Coworking,coworking_space,1
268,S Columbian Way & Beacon Ave S,bus_stop,0
269,Chipotle,fast_food,0
270,6th Ave W & W Crockett St,bus_stop,0
271,Apollo Nails,beauty,0
272,Psychic Boutique,psychic,0
273,Amazon.com Day 1 - Blk. 5,commercial,1
274,Din Tai Fung,restaurant,0
275,NE 50th St & University Way NE,bus_stop,0
276,Columbia City Fitness,leisure,1
277,An Nam Pho,restaurant,0
278,Dockside Cannabis,cannabis,0
279,Qwest Plaza (South),building,1
280,Phinney Nails and Spa,hairdresser,0
281,NE NOAA Dr & Guard Shack,bus_stop,0
282,Haight Building (Sec. A),building,1
283,Office Nomads,Shared Office Spaces,0
284,Western Ave W & Elliott Ave W,bus_stop,0
285,Bonjour Nails & Spa,beauty,0
286,Redhawk Center,leisure,1
287,Prudential Building - Blk. 4,building,1
288,Warwick Seattle Hotel,hotel,1
289,24th Ave S & S Norman St,bus_stop,0
290,Denny Way & Queen Anne Ave N,bus_stop,0
291,Dreamstrands Comics and Collectibles,books,0
292,Meadow Brew Cafe,cafe,0
293,Plaza Select Foods,convenience,0
294,Ravenna's Varsity Restaurant,restaurant,0
295,Klondike Penny's,art,0
296,Alhambra,clothes,0
297,McGilvra's,pub,0
298,Ballard Barbell and Boxing Club,leisure,0
299,Koh Orthodontics,dentist,0
300,35th Ave SW & SW Raymond St,bus_stop,0
301,Lark,Tapas/Small Plates; American (New),0
302,Sephora,cosmetics,0
303,Midtown Espresso,cafe,0
304,Space Oddity,furniture,0
305,Metropolitan Grill,restaurant,0
306,Senait Store,convenience,0
307,24 Hour Fitness - Downtown Seattle,Trainers; Gyms,0
308,Zipcar,car_sharing,0
309,Ayutthaya Thai Cuisine,restaurant,0
310,Allen Institute for Brain Science (North),office,1
311,Stadium Place,office,1
312,L'oursin,restaurant,0
313,11 (Building 8),building,1
314,Aegis on Madison (South),social_facility,1
315,32 Bar & Grill,Sports Bars; American (Traditional),0
316,Blue Water Taco Grill,restaurant,0
317,Jim Ryan Clock,clock,0
318,University of Washington,subway_entrance,0
319,1800 Ninth,building,1
320,Broderick Building,building,0
321,Witness Trees - What The Trees Have Seen,artwork,0
322,Broadway Shoe Repair,Shoe Repair; Shoe Shine,0
323,Rose Compass Acupuncture,healthcare,0
324,Corvus & Co,bar,0
325,Rick's Custom Upholstery,car_repair,0
326,E Yesler Way & 16th Ave S,bus_stop,0
327,Lowman Building,building,1
328,Wallflower,florist,0
329,Kuba Grille,artwork,0
330,Queen Anne Ave N & W Prospect St,bus_stop,0
331,Graystone Mortgage,office,0
332,Rof Medical Center,clinic,0
333,Café Yumm!,fast_food,0
334,Technical & Assembly Services Corporation,office,0
335,23rd Ave & E Union St,bus_stop,0
336,Cedar Speedster,commercial,1
337,Mr. West,cafe,0
338,Amazon.com Meeting Center,office,1
339,One Yesler Building,building,1
340,Zoo Java,cafe,0
341,520 Pike Tower (East),building,1
342,Northwest Work Lofts (Section C),building,1
343,E Madison St & 12th Ave,bus_stop,0
344,Cornerstone Baptist Church,place_of_worship,0
345,International District Village Square II,community_centre,1
346,The Forest Is Waiting,artwork,0
347,Menashe & Sons Jewelers,jewelry,0
348,Taco Del Mar,fast_food,0
349,Pagliacci Pizza,fast_food,0
350,Dexter Ave N & Harrison St,bus_stop,0
351,Cute Nails,beauty,0
352,Morphauna,artwork,0
353,KeyBank,bank,0
354,The Continental Apartments (Building 7),building,1
355,Just Burgers,restaurant,0
356,Neighbors,bar,0
357,The Great Hall at Green Lake (Section G),events_venue,1
358,Red Cow,restaurant,0
359,Cheese Platters and More,restaurant,0
360,Seattle Piano Academy,music_school,0
361,Queen Anne Natural Health,alternative_medicine,0
362,E Thomas St & 16th Ave E,bus_stop,0
363,Warwick Seattle Hotel,hotel,1
364,Hartford Building (Building 9),building,1
365,Young Tea,cafe,0
366,N 85th St & Greenwood Ave N,bus_stop,0
367,La Rue Creperie + Espresso,cafe,0
368,Maison Tavern,bar,0
369,Washington Research Foundation (Bld. 5),office,1
370,Paper Boat Booksellers,Bookstores,0
371,Harvard Ave E & E Shelby St,bus_stop,0
372,Tulinda,leisure,0
373,The Uncommon Cottage,gift,0
374,Xfinity,telecommunication,0
375,The Great Hall at Green Lake,events_venue,1
376,Aurora Rents,rental,0
377,Garden of Color and Light,artwork,0
378,Seneca St & Boylston Ave,bus_stop,0
379,Tony's Cleaners,dry_cleaning,0
380,EVO,clothes,0
381,Barre 3,leisure,0
382,Pasta Casalinga,restaurant,0
383,Pineapple Bistro and Bar,restaurant,0
384,Rockitcoin ATM,atm,0
385,Homegrown,restaurant,0
386,Woodlawn Ave N & N 63rd St,bus_stop,0
387,520 Pike Tower,building,1
388,Swedish First Hill Medical Center,hospital,1
389,Cantina Leña,restaurant,0
390,TASTE Café,cafe,0
391,National Nordic Museum (Bld. 4),museum,1
392,Five star,laundry,0
393,Condominium Law Group,office,0
394,Cafe Hương Quê,cafe,0
395,Some Random Bar,bar,0
396,Emerald City Smoothie,fast_food,0
397,Amante Pizza & Pasta,restaurant,0
398,Jackstraw,Men's Clothing; Women's Clothing,0
399,Sally Beauty,hairdresser_supply,0
400,NELLA Cutlery,houseware,0
401,U-Haul,rental,0
402,"Ecology and Environment, Inc.",office,0
403,Urban Fit,leisure,0
404,Bank of America,bank,0
405,Shelter,bar,0
406,KJ’s Bar,bar,0
407,"Kenny To, DDS",dentist,0
408,Greenwood Ave N & N 70th St,bus_stop,0
409,Next Level,leisure,0
410,Othello Wok and Teriyaki,restaurant,0
411,Tweedy & Popp,hardware,0
412,Seattle Cancer Care Alliance,clinic,1
413,Starbucks,cafe,0
414,Boeing 3-825,building,1
415,Tenth West,restaurant,0
416,Osborn,building,1
417,Market Place One (East),building,1
418,Hiroshi's Poke,Poke; Hawaiian; Japanese,0
419,Central Agency Building - Block 2,building,1
420,Grange Insurance Association,office,0
421,Wedgwood Alehouse,pub,0
422,Edgar's Cantina,restaurant,0
423,Salon Excellence,beauty,0
424,Jones Barbecue,restaurant,0
425,Little Chinook's,fast_food,0
426,Broadway E & E Thomas St,bus_stop,0
427,Urban Kinetics,leisure,0
428,First & Stewart Building,building,1
429,Little Free Library,public_bookcase,0
430,Leary Ave NW & NW Vernon Pl,bus_stop,0
431,Capitol Hill Chiropractic & Massage,doctors,0
432,Shefayoga,leisure,0
433,14th Avenue Northwest Boat Ramp,leisure,0
434,Lunar Laundry,laundry,0
435,Shanti Threading Salon,hairdresser,0
436,Panama Hotel,commercial,1
437,State Farm,office,0
438,Chase,atm,0
439,Flowers on 15th,florist,0
440,Starbucks Center,office,1
441,E Madison St & 14th Ave,bus_stop,0
442,6th Ave S & Yesler Way,bus_stop,0
443,Market Street Shoes,shoes,0
444,Premier Pilates,leisure,0
445,10th Ave W & W Crockett St,bus_stop,0
446,ZoomCare,clinic,0
447,S Jackson St & Boren Ave S,bus_stop,0
448,Tashiro Kaplan Artist Lofts,building,1
449,Arctic Building,building,1
450,Seasons Salon & Spa,beauty,0
451,Beechers Handmade Cheese,cheese,0
452,Tamarind Tree,restaurant,0
453,Circulation,artwork,0
454,Mind Your Body Clinic,clinic,0
455,Cakes + Trees,bakery,0
456,Childish Things,clothes,0
457,Pho Saigon,restaurant,0
458,State Farm,office,0
459,Driftwood Consignment,clothes,0
460,Seattle City Fire Station Number 31,fire_station,0
461,Uwajimaya Village Underground Lot,parking_entrance,0
462,Cooperative Children’s Center,kindergarten,0
463,FedEx Office,copyshop,0
464,Medal of Honor,historic,0
465,Johnstone Supply,trade,0
466,Belltown Pizza & Game Room,bar,0
467,Desert Sun Tanning,beauty,0
468,Taste of Xi'an,restaurant,0
469,NW 54th St & NW Market St,bus_stop,0
470,6th Ave & Union St,crossing,0
471,Shikorina Pastries,bakery,0
472,Kubota Garden,leisure,1
473,ChargePoint,charging_station,0
474,Rainier Ave S & S Dawson St,bus_stop,0
475,Vista Optical,optician,0
476,Roosevelt Way NE & NE 75th St,bus_stop,0
477,Tikvah's Garden,leisure,0
478,Airport Way S & S Lucile St,bus_stop,0
479,Boathouse Deli,cafe,0
480,Chase,bank,0
481,Meadowbrook Community Center (Bld. 3),community_centre,1
482,Tulip's Nails,beauty,0
483,Simply Seattle,gift,0
484,23rd Ave S & S Massachusetts St,bus_stop,0
485,Tuesday Scarves,scarves,0
486,4th Ave S & S Bennett St,bus_stop,0
487,Ba Miền Seafood Market,supermarket,0
488,Supreme Cutz,hairdresser,0
489,NW Pain Relief Center,doctors,0
490,Bethany United Church of Christ,place_of_worship,1
491,Labor Ready,office,0
492,32nd Ave NW & NW 66th St,bus_stop,0
493,Merrill Gardens,parking,0
494,8th Ave NW & NW 61st St,bus_stop,0
495,Everything But Water,outdoor,0
496,Trader Joe's,supermarket,0
497,Allumia,office,0
498,NE 65th St & 14th Ave NE,bus_stop,0
499,One Yesler Building (East),building,1
500,The Triple Door,theatre,0
501,Thai Thani Kitchen,restaurant,0
502,Westlake Ave N & Highland Dr,bus_stop,0
503,Holman Rd N & Greenwood Ave N,bus_stop,0
504,Body Doc Personal Training LLC,leisure,0
505,The Counter,restaurant,0
506,Have a Heart,cannabis,0
507,Al-Uruba Restaurant,restaurant,0
508,Beach Dr SW & SW Beach Drive Ter,bus_stop,0
509,Prudential Building,building,1
510,22nd Ave W & W Armour St,bus_stop,0
511,Market Place One,building,1
512,Jae's Asian Bistro and Sushi,restaurant,0
513,Latona Elementary School,school,0
514,The Seattle Public Library- Northeast Branch,library,1
515,Capitol Hill Montlake Dentistry,dentist,0
516,ALPS Language School,school,0
517,Unique Barbershop,hairdresser,0
518,Gerber Collision & Glass,car_repair,0
519,Saint Matthew Missionary Baptist Church,place_of_worship,0
520,AlwaysRunning.com,office,0
521,Bethany United Church of Christ (Sec. A),place_of_worship,1
522,N 39th St & Evanston Ave N,bus_stop,0
523,Pho Shizzle Too!,restaurant,0
524,Fainting Goat Gelato,cafe,0
525,Seattle Magnolia Pizza & Pasta,restaurant,0
526,Maritime Pacific Brewing Company (South),craft,1
527,Japanese Cultural & Community Center,community_centre,0
528,Aspira,building,1
529,General Porpoise Doughnuts - Pioneer Square,cafe,0
530,Roosevelt Way NE & NE 55th St,bus_stop,0
531,NW Market St & 20th Ave NW,bus_stop,0
532,The Hazlewood,bar,0
533,Chase,atm,0
534,The Bar Shoppe,bar,0
535,MariPili,cafe,0
536,Starbucks,cafe,0
537,Eastlake Ave E & E Garfield St,bus_stop,0
538,New Life Addiction And Recovery Services,doctors,0
539,GNC,nutrition_supplements,0
540,Dingfelder’s Delicatessen,cafe,0
541,Eastlake Ave E & E Lynn St,bus_stop,0
542,Hōtöpp,office,0
543,L Dankers Real Estate,office,0
544,Horizon Lodge - Ordo Templi Orientis,leisure,0
545,SW Avalon Way & SW Yancy St,bus_stop,0
546,Chukar Cherries,confectionery,0
547,BECU,bank,0
548,Rapid Transit Comes to Greenwood,information,0
549,Night Light Nails & Spa,beauty,0
550,The Arctic Club Seattle,hotel,0
551,Rainier Best Alterations,craft,0
552,Taylor Ave N & Lee St,bus_stop,0
553,Meadowbrook Community Center,community_centre,1
554,E Union St & 20th Ave,bus_stop,0
555,Seattle Hookah Lounge,lounge,0
556,Elliott Bay CrossFit,leisure,0
557,Madison St & 9th Ave,bus_stop,0
558,Mud Bay,pet,0
559,Kaiser Permanente Capitol Hill Campus,hospital,1
560,KeyBank,atm,0
561,Seattle Parks & Recreation,office,0
562,Mobilize Physical Therapy,office,0
563,Azteca,restaurant,0
564,Pho An,restaurant,0
565,The Tempest,artwork,0
566,Pho Than Brothers,restaurant,0
567,Sunny Massage,massage,0
568,The Georgian,restaurant,0
569,Lake View Building,office,1
570,Emerald City School,college,0
571,Hartford Building,building,1
572,Thai On 1,restaurant,0
573,Rione XIII,restaurant,0
574,Yihai Video,photo,0
575,15th Ave NE & NE 65th St,bus_stop,0
576,Morrison Hotel,building,1
577,Metropolitan Park: East Tower (Sec. B),building,1
578,Maple Leaf Dental,dentist,0
579,Woodland Coffee,cafe,0
580,Sunset Grocery,convenience,0
581,Optical Illusions,optician,0
582,Madison Park Bakery,bakery,0
583,Four Seasons Seattle,hotel,1
584,Duck Island Ale House,pub,0
585,Davis Optical Xpress,optician,0
586,Brooks Sports,office,1
587,Aurora Ave N & N 46th St,bus_stop,0
588,Pacific Rim Building,building,1
589,7-Eleven,convenience,0
590,Krannitz/Gehl Architects,office,0
591,SW Dawson St & 18th Ave SW,bus_stop,0
592,Oak Tree Teriyaki,fast_food,0
593,Kitchen Counter,fast_food,0
594,S Jackson St & Maynard Ave S,bus_stop,0
595,Bedrooms and More,furniture,0
596,Ballard Mailbox & Shipping Center,post_office,0
597,Pane Pane Sandwiches,Sandwiches; Delis; Asian Fusion,0
598,Graduate Seattle (East),hotel,1
599,Phó Ba,restaurant,0
600,Golden City,restaurant,0
601,Reflect,artwork,0
602,Bobabucha Cafe,cafe,0
603,Reuben's Brews: The Taproom,pub,0
604,Phinney Ave N & N 67th St,bus_stop,0
605,Queen's Cleaners,dry_cleaning,0
606,Keystone Congregational Church,place_of_worship,0
607,Food Mart,convenience,0
608,The Beer Authority,pub,0
609,Wallingford Ave N & N 82nd St,bus_stop,0
610,Plaza Garage,parking_entrance,0
611,Galanda Broadman Law,office,0
612,Healthy Foot Spa,massage,0
613,Pulp,office,0
614,Fremont Brewing Urban Beer Garden - Blk. 4,pub,1
615,Aspire Kinetic Arts,leisure,0
616,Bell Harbor Dental,dentist,0
617,22nd Ave SW & 23rd Ave SW,bus_stop,0
618,Precision Shooter,gun,0
619,Kois Dental,dentist,0
620,superGraphics,office,0
621,Meaty Johnson's BBQ,cafe,0
622,Wallingford Dry Cleaners,dry_cleaning,0
623,Weedin Pl NE & 8th Ave NE,bus_stop,0
624,Computer Love,computer,0
625,Domino's,fast_food,0
626,NE 40th St & Latona Ave NE,bus_stop,0
627,Sound Physical Therapy,healthcare,0
628,Sagstad Marina,leisure,0
629,The Flatiron Building - Block 4,building,1
630,Roberto's For Hair,Hair Salons,0
631,Bejeweled,Jewelry,0
632,Meridian Ave N & N Roosevelt Way N,bus_stop,0
633,Box House Saloon,restaurant,0
634,Ebb & Company,wine,0
635,Beyond Vape,e-cigarette,0
636,Starbucks,cafe,0
637,Emerald City Smoothie,fast_food,0
638,Glamour Nails,beauty,0
639,Clean Cut Barber Shop,hairdresser,0
640,1899 Grove - Block 5,food_court,1
641,Din Tai Fung,restaurant,0
642,ATI Physical Therapy,healthcare,0
643,The First Hill Exhibit,information,0
644,Lyon Building - Block 3,building,1
645,East Anchor Seafood,seafood,0
646,QQ Bites,restaurant,0
647,Lish Whitson,office,0
648,Port of Seattle Fishermen's Terminal - Blk. 4,leisure,1
649,5th Ave & Pine St,bus_stop,0
650,NE Campus Pkwy & 12th Ave NE,bus_stop,0
651,34th Ave & E Howell St,bus_stop,0
652,Daybreak Star Indian Cultural Center,arts_centre,1
653,Lake Dell Ave & 32nd Ave,bus_stop,0
654,6th Ave W & W Howe St,bus_stop,0
655,Strata Architects,office,0
656,Seattle City Hall,townhall,1
657,The Law Office of Marcia Mellinger,office,0
658,Flying Lion Brewing,pub,0
659,Sod House Bakery,bakery,0
660,Carkeek Park Veterinary Hospital,veterinary,0
661,Show Pony,clothes,0
662,Oasis,bar,0
663,Osteria la Spiga,restaurant,0
664,American Mary,cannabis,0
665,Pacific Telephone and Telegraph Co. Building (Section H),building,1
666,GoNetYourself,studio,0
667,Holiday Inn Seattle Downtown,hotel,1
668,Aspira (Section A),building,1
669,Magnolia Whizz Kids Academy Preschool,kindergarten,0
670,4th Ave & James St,bus_stop,0
671,BECU,bank,0
672,N 92nd St & Corliss Ave N,bus_stop,0
673,Port of Seattle Fishermen's Terminal,leisure,1
674,Maroon Dry Cleaners,dry_cleaning,0
675,Second & Seneca Building (Bld. 7),building,1
676,Meridian Ave N & N 54th St,bus_stop,0
677,Whole Foods Market,supermarket,0
678,Collections Café,restaurant,0
679,Seattle Vision,optician,0
680,Crescent Arms Dry Cleaners,dry_cleaning,0
681,Amazon.com Gatsby (Sec. G),office,1
682,Holman Rd NW & Mary Ave NW,bus_stop,0
683,Drexel Hotel,commercial,1
684,Mr. D's Greek Delicacies,restaurant,0
685,The Cairns (West),building,1
686,35th Ave NE & NE 75th St,bus_stop,0
687,The Bottom Line,cafe,0
688,On the Boards,theatre,0
689,Eureka!,restaurant,0
690,Eastlake Coffee & Cafe,cafe,0
691,Fine Arts Building (Bld. 9),building,1
692,H & R Block,office,0
693,Victrola Coffee Roasters,cafe,0
694,"""A"" Braille Faces of Art",artwork,0
695,Historic Point Of Interest,historic,0
696,Your Family Auto,car_repair,0
697,505 Union Station,building,1
698,Acme Finance,office,0
699,Rasai,restaurant,0
700,Mount Baker Ridge Tunnel (new bore),historic,0
701,Fight Gods,leisure,0
702,Revive Smiles Dentistry,dentist,0
703,Inspire,leisure,0
704,Ocean Star Seafood Restaurant,restaurant,0
705,Seattle Ngay Nay,computer,0
706,Magnolia Post Office,post_office,0
707,Caffe Vita,cafe,0
708,Central Area Health Care Center - Block 3,clinic,1
709,Denny Way & Broad St,bus_stop,0
710,The Splintered Wand,pub,0
711,BevMo!,alcohol,0
712,Hillclimb Chiropractic Clinic,healthcare,0
713,Creative Media Alliance,office,0
714,Seattle ReCreative,craft,0
715,Bakeréé North,cannabis,0
716,Harvest Beat,restaurant,0
717,Grand Central Bakery - Wedgewood,bakery,0
718,Friendly Food Mart,alcohol,0
719,NK Nails,beauty,0
720,Sixth & Lenora Building - Blk. 3,commercial,1
721,Sea Mar Community Health Centers,clinic,0
722,Mercer,clothes,0
723,Starline Barber Shop,hairdresser,0
724,City People’s Mercantile,garden_centre,0
725,Dearborn Park Playground,leisure,0
